City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Windspeed,Country,Date
82,thompson,55.7435,-97.8558,65.5,46,100,10.45,CA,1690405683
83,ban houakhoua,20.2453,100.4547,72.95,98,86,0.22,LA,1690405684
84,aksu,41.1231,80.2644,81.63,31,1,3.91,CN,1690405684
85,iqaluit,63.7506,-68.5145,40.87,77,98,6.02,CA,1690405679
86,invercargill,-46.4,168.35,44.04,68,100,22.82,NZ,1690405582
87,lerwick,60.1545,-1.1494,50.0,82,6,5.75,GB,1690405686
88,ushuaia,-54.8,-68.3,35.26,69,40,18.41,AR,1690405686
89,san ignacio de velasco,-16.3667,-60.95,85.75,35,65,5.37,BO,1690405686
90,ust-nera,64.5667,143.2,53.69,76,89,6.29,RU,1690405412
91,rio gallegos,-51.6226,-69.2181,23.05,93,0,10.36,AR,1690405688
92,minas de marcona,-15.2119,-75.1103,59.65,70,20,16.08,PE,1690405689
93,zarah sharan,33.1467,68.7917,71.76,57,92,1.68,AF,1690405689
94,salalah,17.0151,54.0924,78.89,89,100,6.91,OM,1690405636
95,qaqortoq,60.7167,-46.0333,45.09,81,90,5.17,GL,1690405690
96,sitka,57.0531,-135.33,60.69,82,100,5.75,US,1690405690
97,alipur,29.3846,70.9116,86.36,75,73,4.88,PK,1690405691
98,santa cruz de tenerife,28.4682,-16.2546,76.32,85,75,18.41,ES,1690405440
99,stanley,54.868,-1.6985,57.27,89,20,3.44,GB,1690405692
100,guerrero negro,27.9769,-114.0611,83.7,44,18,12.77,MX,1690405692
101,newman,37.3138,-121.0208,102.06,10,0,10.22,US,1690405681
102,gereida,11.2811,25.1414,78.78,69,99,6.35,SD,1690405693
103,naracoorte,-36.9579,140.7383,44.22,76,0,11.72,AU,1690405693
104,st. john's,47.5649,-52.7093,79.29,51,93,1.99,CA,1690405693
105,luderitz,-26.6481,15.1594,55.96,70,0,10.4,NA,1690405694
106,svetlyy yar,48.4748,44.781,76.6,37,0,4.43,RU,1690405694
107,gandai,21.6667,81.1,81.19,82,70,5.97,IN,1690405695
108,kodiak,57.79,-152.4072,56.71,88,100,5.75,US,1690405630
109,ribeira grande,38.5167,-28.7,74.77,83,40,12.66,PT,1690405425
110,south hedland,-20.4089,118.5983,60.73,59,16,6.91,AU,1690405696
111,rongelap,11.1635,166.8941,82.35,82,100,18.99,MH,1690405696
112,usogorsk,63.4106,48.6872,56.7,79,95,4.76,RU,1690405696
113,portland,45.5234,-122.6762,83.55,38,20,9.22,US,1690405677
114,vung tau,10.346,107.0843,79.9,90,100,16.8,VN,1690405698
115,sosnovka,56.255,51.2842,63.18,94,57,5.39,RU,1690405699
116,barra,-11.0894,-43.1417,79.0,42,48,4.85,BR,1690405699
117,georgetown,5.4112,100.3354,82.33,89,40,0.0,MY,1690405615
118,saudarkrokur,65.7461,-19.6394,49.75,83,7,8.81,IS,1690405700
119,ibarreta,-25.2144,-59.8585,66.33,61,90,6.69,AR,1690405701
120,tangalle,6.024,80.7911,76.73,91,100,10.09,LK,1690405472
121,labrador city,52.9463,-66.9114,60.71,77,75,8.05,CA,1690405445
122,wailua homesteads,22.0669,-159.378,83.19,77,40,14.97,US,1690405702
123,posto fiscal rolim de moura,-13.0833,-62.2667,93.69,29,8,0.51,BR,1690405653
124,arraial do cabo,-22.9661,-42.0278,71.46,83,0,13.8,BR,1690405596
125,pestovo,58.5938,35.8024,56.19,98,24,4.94,RU,1690405619
126,nyaunglebin,17.95,96.7333,75.42,94,34,3.2,MM,1690405703
127,bargaal,11.2864,51.0773,82.92,60,6,26.87,SO,1690405703
128,baihe,22.15,107.2333,78.3,86,94,2.46,CN,1690405703
129,new norfolk,-42.7826,147.0587,48.7,94,100,3.13,AU,1690405421
130,port alfred,-33.5906,26.891,61.18,87,100,3.0,ZA,1690405704
131,palikir - national government center,6.9248,158.1611,82.06,74,100,6.31,FM,1690405561
132,nha trang,12.25,109.1833,82.4,84,96,6.58,VN,1690405705
133,cabo san lucas,22.8909,-109.9124,95.61,65,20,7.0,MX,1690405705
134,elliot lake,46.3834,-82.6331,70.48,87,100,4.14,CA,1690405705
135,inari,68.906,27.0288,57.4,91,57,2.26,FI,1690405706
